antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Folic acid,frozenset({'Methotrexate'}),0.009766666666666667,0.0462,0.0092,0.9419795221843004,20.38916714684633,1.0,0.00874878,16.43902352941177,0.9603336060451277,0.19672131147540983,0.9391691362804575,0.5705568606592497
Folic acid,frozenset({'Prednisolone'}),0.009766666666666667,0.091,0.0077666666666666665,0.7952218430034129,8.738701571466077,1.0,0.0068779,4.438949999999999,0.8943008620242539,0.08351254480286738,0.7747214994536996,0.44028491417569915
Infliximab (genetical recombination),frozenset({'Methotrexate'}),0.022266666666666667,0.0462,0.0184,0.8263473053892215,17.88630531145501,1.0,0.01737128,5.492572413793102,0.9655918154382511,0.3675099866844208,0.8179359460989951,0.6123078518288099
Infliximab (genetical recombination),frozenset({'Prednisolone'}),0.022266666666666667,0.091,0.017233333333333333,0.7739520958083832,8.504968085806409,1.0,0.015207066666666666,4.021271523178807,0.902517724781406,0.17945157931273864,0.7513224376329848,0.4816646925928363
Interferon alpha-2b (genetical recombination),frozenset({'Ribavirin'}),0.014966666666666666,0.017766666666666667,0.0138,0.9220489977728286,51.89769218233557,1.0,0.013534092222222223,12.600650476190484,0.9956326220272266,0.7288732394366195,0.9206390176531325,0.8493922287175588
Ribavirin,frozenset({'Interferon alpha-2b (genetical recombination)'}),0.017766666666666667,0.014966666666666666,0.0138,0.776735459662289,51.89769218233557,1.0,0.013534092222222223,4.4119560224089645,0.9984708186624555,0.7288732394366195,0.7733431623250878,0.8493922287175588
Pyrazinamide,frozenset({'Isoniazid'}),0.0031333333333333335,0.012566666666666667,0.0030666666666666668,0.9787234042553191,77.88249901235962,1.0,0.0030272911111111113,46.4093666666666,0.990262968896746,0.2427440633245383,0.9784526255834849,0.611377617247023
Rifampin,frozenset({'Isoniazid'}),0.0075,0.012566666666666667,0.0057,0.76,60.47745358090186,1.0,0.0056057500000000005,4.114305555555556,0.9908966370586415,0.39675174013921116,0.7569456165817102,0.6067904509283819
Sanilvudine,frozenset({'Lamivudine'}),0.0066,0.011533333333333333,0.005866666666666667,0.888888888888889,77.07129094412332,1.0,0.005790546666666667,8.896200000000006,0.9935826454600363,0.4782608695652173,0.8875924552055935,0.6987797045600515
Zidovudine,frozenset({'Lamivudine'}),0.0036333333333333335,0.011533333333333333,0.003033333333333333,0.8348623853211008,72.38691202206077,1.0,0.0029914288888888887,5.985714814814811,0.9897815542993021,0.25,0.8329355756266617,0.5489340828339608
Leflunomide,frozenset({'Prednisolone'}),0.010033333333333333,0.091,0.007666666666666666,0.7641196013289037,8.396918695922018,1.0,0.006753633333333333,3.853647887323944,0.8898367241174862,0.08211353088182792,0.7405056120229964,0.424184342788994
Peginterferon alpha-2b (genetical recombination),frozenset({'Ribavirin'}),0.0042,0.017766666666666667,0.004166666666666667,0.9920634920634921,55.83847047261681,1.0,0.0040920466666666665,123.76140000000044,0.9862333801968267,0.2340823970037453,0.9919199362644573,0.6132925340242413
"Infliximab (genetical recombination), Adrenal hormones",frozenset({'Methotrexate'}),0.006466666666666667,0.0462,0.006466666666666667,1.0,21.645021645021647,1.0,0.006167906666666666,inf,0.9600080520700529,0.13997113997113997,1.0,0.56998556998557
"Adrenal hormones, Methotrexate",frozenset({'Infliximab (genetical recombination)'}),0.006633333333333333,0.022266666666666667,0.006466666666666667,0.9748743718592965,43.78178316733367,1.0,0.006318964444444445,38.913786666666674,0.9836845577381511,0.28826151560178304,0.9743021667727702,0.6326467667679716
"Prednisolone, Adrenal hormones",frozenset({'Infliximab (genetical recombination)'}),0.0063,0.022266666666666667,0.005966666666666667,0.9470899470899471,42.53397965972816,1.0,0.005826386666666667,18.47916,0.9826802711833152,0.2640117994100295,0.9458849861140874,0.6075270094731173
"Infliximab (genetical recombination), Adrenal hormones",frozenset({'Prednisolone'}),0.006466666666666667,0.091,0.005966666666666667,0.9226804123711341,10.139345190891584,1.0,0.0053782000000000005,11.756400000000008,0.9072411276346819,0.06520947176684883,0.9149399476030078,0.4941240889694498
"Prednisolone, Adrenal hormones",frozenset({'Methotrexate'}),0.0063,0.0462,0.006,0.9523809523809524,20.614306328592043,1.0,0.00570894,20.029800000000023,0.9575223910637013,0.12903225806451613,0.9500743891601514,0.5411255411255411
"Adrenal hormones, Methotrexate",frozenset({'Prednisolone'}),0.006633333333333333,0.091,0.006,0.9045226130653267,9.93980893478381,1.0,0.005396366666666667,9.520578947368424,0.9054002662103062,0.06547835576573299,0.8949643708089402,0.4852283394996963
"Alendronate sodium hydrate, Methotrexate",frozenset({'Prednisolone'}),0.0043,0.091,0.0036,0.8372093023255813,9.200102223358037,1.0,0.0032087,5.58385714285714,0.8951547208552331,0.03925845147219193,0.8209123237905185,0.43838487094301043
